Name,ID,Lat,Lon,GridCell,Elevation,Duration,μ,ϕ,ξ,q20
PORT MELLON,1046332,49.53,-123.5,3960,125.0,24h,126.50205493949507,2.987498113878292,0.6135369430932118,294.1755070638339
POWELL RIVER,1046392,49.83,-124.5,4627,125.0,24h,44.502406504477655,2.207769058607527,-0.05975684867034149,69.25584123763817
SECHELT AUT,1047172,49.47,-123.72,3958,86.0,24h,47.41120162497214,2.5058418858608213,-0.2177198939078127,74.21378410841074
SQUAMISH AIRPORT,10476F0,49.78,-123.17,4075,53.0,24h,106.68473197057591,3.475153043157399,-0.19707509953144445,179.31203642380535
CAPE ST JAMES,1051351,51.93,-131.02,9415,87.0,24h,38.95068734126883,2.11299613254302,-0.2890250290815164,55.44331531999312
LANGARA,1054500,54.27,-133.07,12665,42.0,24h,52.19573829744907,2.2882153841911372,-0.23075319236950023,73.3882703939547
SANDSPIT A,1057050,53.25,-131.82,11098,6.0,24h,49.279181114354614,2.4289976163493288,-0.17053091060232278,75.72338984279415
BELLA COOLA A,1060841,52.38,-126.6,8211,35.0,24h,59.1559777869986,2.8998659076614395,0.07249268708903613,119.38072213796165
BELLA COOLA BC HYDRO,1060842,52.37,-126.82,8322,13.0,24h,91.18797853657051,3.354489742641704,-0.6811684241774001,127.66218885055622
HERBERT ISLAND (AUT),1063461,50.93,-127.63,6965,13.0,24h,47.23557197591027,2.4768013325836358,0.09586721293761435,88.1375007411016
KITIMAT,1064288,54.05,-128.68,10784,12.0,24h,83.21527688840412,3.0854306880631412,-0.05121440311917724,143.49308138153023
PRINCE RUPERT A,1066481,54.28,-130.43,11672,35.0,24h,83.17420428937567,2.9253768063459846,-0.02756585881062614,136.33630821191844
STEWART A,1067742,55.93,-129.98,13252,7.0,24h,65.83520797433894,3.125731839533853,-0.36701895295345954,107.03091859635344
TERRACE PCC,1068131,54.5,-128.62,11235,67.0,24h,50.33627804626176,2.8358682649422002,0.007075893575610063,101.49959211231213
QUICK,1076638,54.62,-126.9,10798,533.0,24h,23.299385035801215,1.961715360206821,0.16548883564689393,50.579467235651904
SMITHERS A,1077500,54.82,-127.18,11133,521.0,24h,25.237854878460077,1.8824853704688604,0.22431215410999117,52.97204626044237
LAJOIE DAM,1084490,50.83,-122.87,5202,685.0,24h,23.19077541620452,2.3665221365241083,0.07749684652644685,58.79437942972203
PEMBERTON BCFS,1086083,50.32,-122.82,4640,218.0,24h,40.874365440557675,2.6599265196704582,-0.17704172552773995,73.89474912082927
PUNTZI MOUNTAIN (AUT),1086558,52.12,-124.13,7105,909.0,24h,18.265868255994068,1.892346261026206,-0.1303404029915878,34.60630347787887
SOUTHBANK,1087600,54.03,-125.77,9793,730.0,24h,20.583112898273498,1.814470861829641,0.5618947189775183,67.62520348691064
BURNS LAKE,1091169,54.23,-125.77,10018,704.0,24h,20.456567669925384,1.8526984024255988,0.019919892269454252,39.96906078049163
FORT ST JAMES,1092970,54.47,-124.28,9804,691.0,24h,21.82945001888727,1.9447798853521316,-0.09621788367041247,39.89334834144624
FORT ST JAMES A,1092972,54.42,-124.25,9692,716.0,24h,19.12563635572303,1.9353169573024778,0.21099350418760945,47.73121209264188
HORSEFLY BCFS,1093599,52.33,-121.42,6451,784.0,24h,27.615986197233525,2.0068013284961776,-0.7818760046022156,36.19800623690642
KERSLEY,1094125,52.82,-122.37,7343,670.0,24h,24.19801777878982,1.6665874677320538,-0.2811987794502193,34.85810310340559
MCBRIDE ELDER CREEK,1094948,53.42,-120.35,7358,733.0,24h,23.260110012999338,1.3694906839032486,0.9111568456464878,83.58396469604126
MCBRIDE NORTH,1094955,53.37,-120.25,7246,771.0,24h,25.34700813918292,2.0376043035994256,0.3905689402967595,68.36946850399039
PRINCE GEORGE AIRPORT AUTO,1096453,53.88,-122.67,8578,680.0,24h,25.552582521385496,1.7722153050456755,-0.024743324074661864,42.40209598839773
WILLIAMS LAKE A,1098940,52.18,-122.05,6446,939.0,24h,21.300281581522217,1.694316283470558,-0.002856357224338844,37.398441976213
ABBOTSFORD A,1100030,49.03,-122.37,2957,59.0,24h,63.46931017978566,2.8439719380758377,-0.5315267754168235,89.13116485230815
AGASSIZ RCS,1100119,49.23,-121.77,3074,19.0,24h,68.02829228262493,2.645375353385659,0.09282530016424265,116.21209830162763
WHISTLER - NESTERS,1100875,50.13,-122.95,4414,659.0,24h,42.07271161610919,2.503101266807189,0.0015657659421998299,78.45402136524353
CHILLIWACK MICROWAVE,1101562,49.12,-121.9,2961,228.0,24h,53.0104047975747,2.5261680450404786,-0.3123512500281754,77.21476409782218
COQUITLAM LAKE,1101890,49.37,-122.8,3516,160.0,24h,134.01491451279333,3.2624077367445783,0.010357934775746475,212.77902236163402
DELTA BURNS BOG,1102415,49.13,-123.0,3289,3.0,24h,44.787170671136415,2.675403326226709,-0.501585119094144,67.20721838170772
HANEY MICROWAVE,1103328,49.2,-122.52,3293,320.0,24h,73.42650292286424,2.707326039673335,0.023479735268672308,119.53632884433244
HANEY UBC RF ADMIN,1103332,49.27,-122.57,3405,147.0,24h,80.34064725906605,3.082848769649856,-0.11348525130260353,135.35914279861743
LANGLEY LOCHIEL,1104555,49.05,-122.58,3068,100.0,24h,56.766299779166275,2.39414543551314,0.2025537641558528,101.4058986528182
MISSION WEST ABBEY,1105192,49.15,-122.27,3070,197.0,24h,67.9479380571487,2.682309929005717,-0.040780737791313304,108.84202540465745
PITT MEADOWS CS,1106178,49.22,-122.68,3292,5.0,24h,60.66582478355316,2.480878228219251,-0.05190954486071362,93.56361465855964
PORT MOODY GLENAYRE,1106CL2,49.28,-122.88,3515,129.0,24h,72.63291301236353,2.769520042569334,0.05108082651479133,123.79335865645845
SURREY KWANTLEN PARK,1107873,49.18,-122.87,3403,78.0,24h,58.52657005383202,2.5047201423462027,0.13449448169571238,103.21549123329868
SURREY MUNICIPAL HALL,1107876,49.12,-122.83,3291,76.0,24h,50.60466174686236,2.197343495759538,0.046095036472199376,79.2562169034407
VANCOUVER INTL A,1108395,49.18,-123.18,3400,4.0,24h,46.00783605384744,2.4048759682757646,0.006841609332884276,79.24542135150713
VANCOUVER KITSILANO,1108453,49.27,-123.17,3513,12.0,24h,54.25418275699104,2.5233915274313867,0.13833118134237246,100.06309225932495
VANCOUVER UBC,1108487,49.25,-123.25,3512,76.0,24h,50.465335125774835,2.4419518115410357,0.11421238143445558,91.11483003625612
WHITE ROCK CAMPBELL SCIENTIFIC,1108910,49.02,-122.78,3178,13.0,24h,47.09100500692048,2.329610365122861,0.03602100830663739,79.29883762498802
N VANC SONORA DR,110N6FF,49.37,-123.1,3626,182.0,24h,94.53124579088237,3.110502630487702,-0.3008915465778643,138.58179890416602
HELLS GATE,1113420,49.78,-121.45,3527,121.0,24h,55.570439988113094,2.844027918164926,-0.4879193273327534,82.52290457814041
HOPE A,1113540,49.37,-121.5,3076,39.0,24h,73.32888546521214,3.1951208273638247,0.120594407634052,160.52703306719854
LILLOOET,1114619,50.68,-121.93,4760,239.0,24h,21.43073024586733,2.0770153586107014,0.1809142582083974,52.81543423219936
LYTTON,1114741,50.23,-121.58,4088,229.0,24h,30.138251219773494,2.3584608558438864,-0.4203253954938127,48.077369726206484
SHALALTH,1117215,50.73,-122.23,4870,243.0,24h,23.55107580185801,2.0758525638468392,0.1314725005939648,52.51570568869495
KELOWNA A,1123970,49.97,-119.38,3093,429.0,24h,21.366288391142838,1.5755423293704074,-0.07603592435506946,34.216670290077644
KELOWNA PC BURNETTS NURSERY,1123992,49.87,-119.48,2980,349.0,24h,17.375886683432434,1.6884018926571738,0.18731661607200292,38.876417218325614
OLIVER STP,1125766,49.18,-119.53,2305,297.0,24h,20.399686000959804,1.928016048074696,0.22752206012137002,49.57995807803208
PENTICTON A,1126150,49.47,-119.6,2642,344.0,24h,20.250903160601467,1.4859032282361762,0.19638237570536776,38.070775706890196
PRINCETON A,1126510,49.47,-120.52,2859,701.0,24h,19.612050582481807,1.855843171890059,-0.040547086093571195,37.513089372487656
SUMMERLAND CS,112G8L1,49.57,-119.65,2754,454.0,24h,18.22747986138675,1.5259898783878936,0.12642339919134762,34.808138105382625
CASTLEGAR A,1141455,49.3,-117.63,1870,495.0,24h,30.350837737972288,1.7803202041865935,-0.1888719279038874,43.83523380127181
CASTLEGAR BCHPA DAM,1141457,49.33,-117.77,1869,435.0,24h,23.37335556208864,1.6573586098380992,0.05511272768986222,40.3010387891796
DUNCAN LAKE DAM,1142574,50.23,-116.97,2662,548.0,24h,25.844611671569858,1.9266913618108863,0.09565097738434837,49.43244202328526
FAUQUIER,1142820,49.87,-118.07,2541,490.0,24h,29.65620382890993,1.8802397353984603,0.05199829207132432,50.710058345636384
TRAIL BIRCHBANK,1148211,49.2,-117.73,1757,594.0,24h,26.902452905476284,1.8338987173709758,-0.0005819789099202273,45.47458601686019
CRESTON CAMPBELL SCIENTIFIC,114B1F0,49.08,-116.5,1205,640.0,24h,27.266905571665518,1.9524192346387488,0.031205540449257753,49.19454957176502
CRANBROOK A,1152102,49.62,-115.78,1660,940.0,24h,21.956367076697916,2.061543673137951,0.011277035741190253,45.6917197152987
KIMBERLEY PCC,1154203,49.63,-115.97,1771,889.0,24h,20.34954155340157,2.0322126102405957,0.14376552802493123,48.623242914623034
SPARWOOD CS,1157631,49.73,-114.88,1554,1136.0,24h,24.617408252121823,1.8684417637209951,0.30435301006834603,55.89444646228891
BLUE RIVER CS,1160H99,52.13,-119.28,5567,682.0,24h,30.176518837990734,1.9961233479329148,-0.0810033978985846,49.607404717546316
KAMLOOPS AUT,1163842,50.7,-120.43,4322,345.0,24h,17.169355479518906,1.8105026291269102,0.03946971245857289,36.43491993989004
SALMON ARM A,1166R45,50.68,-119.23,3881,527.0,24h,24.57921544992941,1.9961759562987926,0.015998819108402985,46.97018073328359
GOLDEN A,1173210,51.3,-116.98,4010,784.0,24h,23.24693731276774,2.0262187611642037,-0.16879979279135093,40.965524056056296
REVELSTOKE AIRPORT AUTO,1176755,50.97,-118.18,3889,444.0,24h,27.52372972128518,1.8000246680726364,0.0802219576011306,47.814260256898635
VALEMOUNT NORTH,1178CL9,52.85,-119.25,6354,891.0,24h,25.94248027715159,1.8889379030523425,-0.13591056729874018,42.10194397011354
YOHO PARK,11790J1,51.43,-116.33,3903,1602.0,24h,31.733541866235914,2.343200838829395,-0.24316576446912508,53.76221921808015
YOHO NAT PARK BOULDER CR,117R00F,51.38,-116.53,4014,1219.0,24h,26.86811173254448,2.1111137301934795,-0.09004406583733511,48.38839245709575
CHETWYND A,1181508,55.68,-121.63,10385,609.0,24h,30.065066739080365,2.4310387872554777,0.1343230373971442,71.56835916988784
DAWSON CREEK A,1182285,55.73,-120.18,9945,654.0,24h,32.7352981249541,2.0974427852417254,0.09056226853458998,60.494773438717885
FORT ST JOHN A,1183000,56.23,-120.73,10616,694.0,24h,33.042022196433166,2.163067623312439,-0.11764176789318721,54.84546477640981
GERMANSEN LANDING,1183090,55.78,-124.7,11376,766.0,24h,21.281371632805424,1.6261037589121756,0.18602506951450795,41.44106151802674
HUDSON HOPE BCHPA DAM,1183FL0,56.02,-122.2,10831,678.0,24h,31.95330865914523,2.8700434522406177,0.22552043721491777,106.55900179131649
MACKENZIE AIRPORT AUTO,1184793,55.32,-123.13,10375,694.0,24h,26.15239892929201,1.9074989839992906,-0.2744630843196164,39.8341195830369
SIKANNI CHIEF,1187335,57.25,-122.72,12402,937.0,24h,38.69924159797359,2.3625594939457466,0.01447740720317367,70.92495191958301
WARE,1188696,57.43,-125.63,13395,777.0,24h,26.072984067983104,1.8983867440730116,-0.14417818701601454,42.20047365338533
FORT NELSON A,1192940,58.83,-122.6,14090,381.0,24h,31.06297475789121,2.0120253731595548,0.13131670063799583,58.229943364127514
MUNCHO LAKE,1195250,58.93,-125.77,15082,836.0,24h,27.535118059959725,2.1147841557961433,-0.07378087458272829,49.6409230158408
TETSA RIVER,1195J29,58.65,-124.23,14417,810.0,24h,42.52271367670597,2.4922169374729735,0.13334571179585253,86.57615965386819
DEASE LAKE (AUT),119BLM0,58.43,-130.03,15954,800.0,24h,20.472730977513017,1.9511906770616982,0.04991674713530178,43.00312740581887
ATLIN,1200560,59.57,-133.7,18407,673.0,24h,19.066976706411758,1.8633859168206677,-0.04850768122390673,36.896215594742415
PLEASANT CAMP,1206197,59.45,-136.37,19290,274.0,24h,42.523871919014255,2.864195046817326,-0.286232933474167,77.6054303969345
TELEGRAPH CREEK,1208041,57.9,-131.33,15832,249.0,24h,16.671492521794967,1.593962776406714,0.8283653903202406,80.32166128182317
